==================================================
CURRENT SETTINGS:
S0 = 90
S1 = 0
Part Offset (0,0,0)


CHANGE SETTINGS:
[1] Change Servo Rotations and Part Offset
[2] Other Settings
[3] No Changes

Choice: 

Enter input filename: Enter output filename: Rot X, Y: 0,-0
Doing the matrix math.
  2.577   9.564    0.25
  2.297   9.564    0.25
 -9.564  -2.297    0.25
 -9.564  -2.018    0.25
  2.018   9.564    0.25
  1.738   9.564    0.25
 -9.564  -1.738    0.25
 -9.564  -1.459    0.25
  1.459   9.564    0.25
  1.179   9.564    0.25
 -9.564  -1.179    0.25
 -9.564    -0.9    0.25
    0.9   9.564    0.25
  0.621   9.564    0.25
 -9.564  -0.621    0.25
 -9.564  -0.341    0.25
  0.341   9.564    0.25
  0.062   9.564    0.25
 -9.564  -0.062    0.25
 -9.564   0.218    0.25
 -0.218   9.564    0.25
 -0.497   9.564    0.25
 -9.564   0.497    0.25
 -9.564   0.777    0.25
 -0.777   9.564    0.25
 -1.056   9.564    0.25
 -9.564   1.056    0.25
 -9.564   1.336    0.25
 -1.336   9.564    0.25
 -1.615   9.564    0.25
 -9.564   1.615    0.25
 -9.564   1.895    0.25
 -1.895   9.564    0.25
 -2.174   9.564    0.25
 -9.564   2.174    0.25
 -9.564   2.454    0.25
 -2.454   9.564    0.25
 -2.733   9.564    0.25
 -9.564   2.733    0.25
 -9.564   3.013    0.25
 -3.013   9.564    0.25
 -3.292   9.564    0.25
 -9.564   3.292    0.25
 -9.564   3.572    0.25
 -3.572   9.564    0.25
 -3.851   9.564    0.25
 -9.564   3.851    0.25
 -9.564    4.13    0.25
  -4.13   9.564    0.25
  -4.41   9.564    0.25
 -9.564    4.41    0.25
 -9.564   4.689    0.25
 -4.689   9.564    0.25
 -4.969   9.564    0.25
 -9.564   4.969    0.25
 -9.564   5.248    0.25
 -5.248   9.564    0.25
 -5.528   9.564    0.25
 -9.564   5.528    0.25
 -9.564   5.807    0.25
 -5.807   9.564    0.25
 -6.087   9.564    0.25
 -9.564   6.087    0.25
 -9.564   6.366    0.25
 -6.366   9.564    0.25
 -6.646   9.564    0.25
 -9.564   6.646    0.25
 -9.564   6.925    0.25
 -6.925   9.564    0.25
 -7.205   9.564    0.25
 -9.564   7.205    0.25
 -9.564   7.484    0.25
 -7.484   9.564    0.25
 -7.764   9.564    0.25
 -9.564   7.764    0.25
 -9.564   8.043    0.25
 -8.043   9.564    0.25
 -8.323   9.564    0.25
 -9.564   8.323    0.25
 -9.564   8.602    0.25
 -8.602   9.564    0.25
 -8.881   9.564    0.25
 -9.564   8.881    0.25
 -9.564   9.161    0.25
 -9.161   9.564    0.25
  -9.44   9.564    0.25
 -9.564    9.44    0.25
 -9.564    9.44    0.25
 -9.564    9.44     0.5
  9.304  -9.304     0.5
  9.304  -9.304     0.5
  9.304   9.304     0.5
 -9.304   9.304     0.5
 -9.304  -9.304     0.5
  9.229  -9.304     0.5
   9.75   -9.75     0.5
   9.75    9.75     0.5
  -9.75    9.75     0.5
  -9.75   -9.75     0.5
  9.675   -9.75     0.5
    9.5  -9.317     0.5
 -8.787  -9.017     0.5
 -9.017  -8.787     0.5
 -9.017  -8.151     0.5
 -8.151  -9.017     0.5
 -7.516  -9.017     0.5
 -9.017  -7.516     0.5
 -9.017   -6.88     0.5
  -6.88  -9.017     0.5
 -6.244  -9.017     0.5
 -9.017  -6.244     0.5
 -9.017  -5.608     0.5
 -5.608  -9.017     0.5
 -4.972  -9.017     0.5
 -9.017  -4.972     0.5
 -9.017  -4.336     0.5
 -4.336  -9.017     0.5
   -3.7  -9.017     0.5
 -9.017    -3.7     0.5
 -9.017  -3.065     0.5
 -3.065  -9.017     0.5
 -2.429  -9.017     0.5
 -9.017  -2.429     0.5
 -9.017  -1.793     0.5
 -1.793  -9.017     0.5
 -1.157  -9.017     0.5
 -9.017  -1.157     0.5
 -9.017  -0.521     0.5
 -0.521  -9.017     0.5
  0.115  -9.017     0.5
 -9.017   0.115     0.5
 -9.017   0.751     0.5
  0.751  -9.017     0.5
  1.386  -9.017     0.5
 -9.017   1.386     0.5
 -9.017   2.022     0.5
  2.022  -9.017     0.5
  2.658  -9.017     0.5
 -9.017   2.658     0.5
 -9.017   3.294     0.5
  3.294  -9.017     0.5
   3.93  -9.017     0.5
 -9.017    3.93     0.5
 -9.017   4.566     0.5
  4.566  -9.017     0.5
  5.201  -9.017     0.5
 -9.017   5.201     0.5
 -9.017   5.837     0.5
  5.837  -9.017     0.5
  6.473  -9.017     0.5
 -9.017   6.473     0.5
 -9.017   7.109     0.5
  7.109  -9.017     0.5
  7.745  -9.017     0.5
 -9.017   7.745     0.5
 -9.017   8.381     0.5
  8.381  -9.017     0.5
  8.997  -8.997     0.5
 -8.997   8.997     0.5
 -8.381   9.017     0.5
  9.017  -8.381     0.5
  9.017  -7.745     0.5
 -7.745   9.017     0.5
 -7.109   9.017     0.5
  9.017  -7.109     0.5
  9.017  -6.473     0.5
 -6.473   9.017     0.5
 -5.837   9.017     0.5
  9.017  -5.837     0.5
  9.017  -5.202     0.5
 -5.202   9.017     0.5
 -4.566   9.017     0.5
  9.017  -4.566     0.5
  9.017   -3.93     0.5
  -3.93   9.017     0.5
 -3.294   9.017     0.5
  9.017  -3.294     0.5
  9.017  -2.658     0.5
 -2.658   9.017     0.5
 -2.022   9.017     0.5
  9.017  -2.022     0.5
  9.017  -1.386     0.5
 -1.386   9.017     0.5
 -0.751   9.017     0.5
  9.017  -0.751     0.5
  9.017  -0.115     0.5
 -0.115   9.017     0.5
  0.521   9.017     0.5
  9.017   0.521     0.5
  9.017   1.157     0.5
  1.157   9.017     0.5
  1.793   9.017     0.5
  9.017   1.793     0.5
  9.017   2.429     0.5
  2.429   9.017     0.5
  3.065   9.017     0.5
  9.017   3.065     0.5
  9.017     3.7     0.5
    3.7   9.017     0.5
  4.336   9.017     0.5
  9.017   4.336     0.5
  9.017   4.972     0.5
  4.972   9.017     0.5
  5.608   9.017     0.5
  9.017   5.608     0.5
  9.017   6.244     0.5
  6.244   9.017     0.5
   6.88   9.017     0.5
  9.017    6.88     0.5
  9.017   7.516     0.5
  7.516   9.017     0.5
  8.151   9.017     0.5
  9.017   8.151     0.5
  9.017   8.787     0.5
  8.787   9.017     0.5
  8.787   9.017     0.5
  8.787   9.017    0.75
  9.304  -9.304    0.75
  9.304  -9.304    0.75
  9.304   9.304    0.75
 -9.304   9.304    0.75
 -9.304  -9.304    0.75
  9.229  -9.304    0.75
   9.75   -9.75    0.75
   9.75    9.75    0.75
  -9.75    9.75    0.75
  -9.75   -9.75    0.75
  9.675   -9.75    0.75
    9.5  -9.317    0.75
  9.017  -8.787    0.75
  8.787  -9.017    0.75
  8.151  -9.017    0.75
  9.017  -8.151    0.75
  9.017  -7.516    0.75
  7.516  -9.017    0.75
   6.88  -9.017    0.75
  9.017   -6.88    0.75
  9.017  -6.244    0.75
  6.244  -9.017    0.75
  5.608  -9.017    0.75
  9.017  -5.608    0.75
  9.017  -4.972    0.75
  4.972  -9.017    0.75
  4.336  -9.017    0.75
  9.017  -4.336    0.75
  9.017    -3.7    0.75
    3.7  -9.017    0.75
  3.065  -9.017    0.75
  9.017  -3.065    0.75
  9.017  -2.429    0.75
  2.429  -9.017    0.75
  1.793  -9.017    0.75
  9.017  -1.793    0.75
  9.017  -1.157    0.75
  1.157  -9.017    0.75
  0.521  -9.017    0.75
  9.017  -0.521    0.75
  9.017   0.115    0.75
 -0.115  -9.017    0.75
 -0.751  -9.017    0.75
  9.017   0.751    0.75
  9.017   1.386    0.75
 -1.386  -9.017    0.75
 -2.022  -9.017    0.75
  9.017   2.022    0.75
  9.017   2.658    0.75
 -2.658  -9.017    0.75
 -3.294  -9.017    0.75
  9.017   3.294    0.75
  9.017    3.93    0.75
  -3.93  -9.017    0.75
 -4.566  -9.017    0.75
  9.017   4.566    0.75
  9.017   5.202    0.75
 -5.202  -9.017    0.75
 -5.837  -9.017    0.75
  9.017   5.837    0.75
  9.017   6.473    0.75
 -6.473  -9.017    0.75
 -7.109  -9.017    0.75
  9.017   7.109    0.75
  9.017   7.745    0.75
 -7.745  -9.017    0.75
 -8.381  -9.017    0.75
  9.017   8.381    0.75
  8.997   8.997    0.75
 -8.997  -8.997    0.75
 -9.017  -8.381    0.75
  8.381   9.017    0.75
  7.745   9.017    0.75
 -9.017  -7.745    0.75
 -9.017  -7.109    0.75
  7.109   9.017    0.75
  6.473   9.017    0.75
 -9.017  -6.473    0.75
 -9.017  -5.837    0.75
  5.837   9.017    0.75
  5.201   9.017    0.75
 -9.017  -5.201    0.75
 -9.017  -4.566    0.75
  4.566   9.017    0.75
   3.93   9.017    0.75
 -9.017   -3.93    0.75
 -9.017  -3.294    0.75
  3.294   9.017    0.75
  2.658   9.017    0.75
 -9.017  -2.658    0.75
 -9.017  -2.022    0.75
  2.022   9.017    0.75
  1.386   9.017    0.75
 -9.017  -1.386    0.75
 -9.017  -0.751    0.75
  0.751   9.017    0.75
  0.115   9.017    0.75
 -9.017  -0.115    0.75
 -9.017   0.521    0.75
 -0.521   9.017    0.75
 -1.157   9.017    0.75
 -9.017   1.157    0.75
 -9.017   1.793    0.75
 -1.793   9.017    0.75
 -2.429   9.017    0.75
 -9.017   2.429    0.75
 -9.017   3.065    0.75
 -3.065   9.017    0.75
   -3.7   9.017    0.75
 -9.017     3.7    0.75
 -9.017   4.336    0.75
 -4.336   9.017    0.75
 -4.972   9.017    0.75
 -9.017   4.972    0.75
 -9.017   5.608    0.75
 -5.608   9.017    0.75
 -6.244   9.017    0.75
 -9.017   6.244    0.75
 -9.017    6.88    0.75
  -6.88   9.017    0.75
 -7.516   9.017    0.75
 -9.017   7.516    0.75
 -9.017   8.151    0.75
 -8.151   9.017    0.75
 -8.787   9.017    0.75
 -9.017   8.787    0.75
 -9.017   8.787    0.75
 -9.017   8.787       1
  9.304  -9.304       1
  9.304  -9.304       1
  9.304   9.304       1
 -9.304   9.304       1
 -9.304  -9.304       1
  9.229  -9.304       1
   9.75   -9.75       1
   9.75    9.75       1
  -9.75    9.75       1
  -9.75   -9.75       1
  9.675   -9.75       1
    9.5  -9.317       1
 -9.017  -6.885       1
 -6.885  -9.017       1
 -0.573  -9.017       1
 -9.017  -0.573       1
 -9.017   5.739       1
  5.739  -9.017       1
  9.017  -5.982       1
 -5.982   9.017       1
  0.331   9.017       1
  9.017   0.331       1
  9.017   6.643       1
  6.643   9.017       1
  6.643   9.017       1
  6.643   9.017    1.25
  9.304  -9.304    1.25
  9.304  -9.304    1.25
  9.304   9.304    1.25
 -9.304   9.304    1.25
 -9.304  -9.304    1.25
  9.229  -9.304    1.25
   9.75   -9.75    1.25
   9.75    9.75    1.25
  -9.75    9.75    1.25
  -9.75   -9.75    1.25
  9.675   -9.75    1.25
    9.5  -9.317    1.25
  9.017  -6.643    1.25
  6.643  -9.017    1.25
  0.331  -9.017    1.25
  9.017  -0.331    1.25
  9.017   5.982    1.25
 -5.982  -9.017    1.25
 -9.017  -5.739    1.25
  5.739   9.017    1.25
 -0.573   9.017    1.25
 -9.017   0.573    1.25
 -9.017   6.885    1.25
 -6.885   9.017    1.25
 -6.885   9.017    1.25
 -6.885   9.017     1.5
  9.304  -9.304     1.5
  9.304  -9.304     1.5
  9.304   9.304     1.5
 -9.304   9.304     1.5
 -9.304  -9.304     1.5
  9.229  -9.304     1.5
   9.75   -9.75     1.5
   9.75    9.75     1.5
  -9.75    9.75     1.5
  -9.75   -9.75     1.5
  9.675   -9.75     1.5
    9.5  -9.317     1.5
 -9.017  -6.885     1.5
 -6.885  -9.017     1.5
 -0.573  -9.017     1.5
 -9.017  -0.573     1.5
 -9.017   5.739     1.5
  5.739  -9.017     1.5
  9.017  -5.982     1.5
 -5.982   9.017     1.5
  0.331   9.017     1.5
  9.017   0.331     1.5
  9.017   6.643     1.5
  6.643   9.017     1.5
  6.643   9.017     1.5
  6.643   9.017    1.75
  9.304  -9.304    1.75
  9.304  -9.304    1.75
  9.304   9.304    1.75
 -9.304   9.304    1.75
 -9.304  -9.304    1.75
  9.229  -9.304    1.75
   9.75   -9.75    1.75
   9.75    9.75    1.75
  -9.75    9.75    1.75
  -9.75   -9.75    1.75
  9.675   -9.75    1.75
    9.5  -9.317    1.75
  9.017  -6.643    1.75
  6.643  -9.017    1.75
  0.331  -9.017    1.75
  9.017  -0.331    1.75
  9.017   5.982    1.75
